race_id,track_name_ri,pred_finish_ri,car_number_ri,driver,formatted_driver,driver_id
5548,Las Vegas Motor Speedway,17,4,Noah Gragson,Noah Gragson,4224
5548,Las Vegas Motor Speedway,18,6,Brad Keselowski,Brad Keselowski,1816
5548,Las Vegas Motor Speedway,19,77,Carson Hocevar,Carson Hocevar,4326
5548,Las Vegas Motor Speedway,20,43,Erik Jones,Erik Jones,4059
5548,Las Vegas Motor Speedway,21,21,Josh Berry,Josh Berry,4123
5548,Las Vegas Motor Speedway,22,60,Ryan Preece,Ryan Preece,4070
5548,Las Vegas Motor Speedway,23,71,Michael McDowell,Michael McDowell,3832
5548,Las Vegas Motor Speedway,24,19,Chase Briscoe,Chase Briscoe,4228
5548,Las Vegas Motor Speedway,25,3,Austin Dillon,Austin Dillon,3873
5548,Las Vegas Motor Speedway,26,42,John H. Nemechek,John H. Nemechek,4092
5548,Las Vegas Motor Speedway,27,54,Ty Gibbs,Ty Gibbs,4368
5548,Las Vegas Motor Speedway,28,38,Zane Smith,Zane Smith,4272
5548,Las Vegas Motor Speedway,29,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5548,Las Vegas Motor Speedway,30,41,Cole Custer,Cole Custer,4104
5548,Las Vegas Motor Speedway,31,7,Justin Haley,Justin Haley,4172
5548,Las Vegas Motor Speedway,32,88,Shane van Gisbergen,Shane van Gisbergen,4469
5548,Las Vegas Motor Speedway,33,10,Ty Dillon,Ty Dillon,4013
5548,Las Vegas Motor Speedway,34,34,Todd Gilliland,Todd Gilliland,4231
5548,Las Vegas Motor Speedway,35,51,Cody Ware,Cody Ware,4125
5548,Las Vegas Motor Speedway,36,35,Riley Herbst,Riley Herbst,4269
5549,Phoenix Raceway,1,12,Ryan Blaney,Ryan Blaney,4023
5549,Phoenix Raceway,2,20,Christopher Bell,Christopher Bell,4153
5549,Phoenix Raceway,3,24,William Byron,William Byron,4184
5549,Phoenix Raceway,4,9,Chase Elliott,Chase Elliott,4062
5549,Phoenix Raceway,5,11,Denny Hamlin,Denny Hamlin,1361
5549,Phoenix Raceway,6,17,Chris Buescher,Chris Buescher,3989
5549,Phoenix Raceway,7,22,Joey Logano,Joey Logano,3859
5549,Phoenix Raceway,8,5,Kyle Larson,Kyle Larson,4030
5549,Phoenix Raceway,9,1,Ross Chastain,Ross Chastain,4001
5549,Phoenix Raceway,10,45,Tyler Reddick,Tyler Reddick,4065
5549,Phoenix Raceway,11,23,Bubba Wallace,Bubba Wallace,4025
5549,Phoenix Raceway,12,77,Carson Hocevar,Carson Hocevar,4326
5549,Phoenix Raceway,13,21,Josh Berry,Josh Berry,4123
5549,Phoenix Raceway,14,19,Chase Briscoe,Chase Briscoe,4228
5549,Phoenix Raceway,15,6,Brad Keselowski,Brad Keselowski,1816
5549,Phoenix Raceway,16,71,Michael McDowell,Michael McDowell,3832
5549,Phoenix Raceway,17,43,Erik Jones,Erik Jones,4059
5549,Phoenix Raceway,18,48,Alex Bowman,Alex Bowman,4045
5549,Phoenix Raceway,19,8,Kyle Busch,Kyle Busch,454
5549,Phoenix Raceway,20,2,Austin Cindric,Austin Cindric,4180
5549,Phoenix Raceway,21,99,Daniel Suárez,Daniel Suárez,4113
5549,Phoenix Raceway,22,60,Ryan Preece,Ryan Preece,4070
5549,Phoenix Raceway,23,41,Cole Custer,Cole Custer,4104
5549,Phoenix Raceway,24,16,AJ Allmendinger,AJ Allmendinger,3774
5549,Phoenix Raceway,25,4,Noah Gragson,Noah Gragson,4224
5549,Phoenix Raceway,26,3,Austin Dillon,Austin Dillon,3873
5549,Phoenix Raceway,27,47,Ricky Stenhouse Jr.,Ricky Stenhouse Jr,3888
5549,Phoenix Raceway,28,34,Todd Gilliland,Todd Gilliland,4231
5549,Phoenix Raceway,29,54,Ty Gibbs,Ty Gibbs,4368
5549,Phoenix Raceway,30,7,Justin Haley,Justin Haley,4172
5549,Phoenix Raceway,31,35,Riley Herbst,Riley Herbst,4269
5549,Phoenix Raceway,32,38,Zane Smith,Zane Smith,4272
5549,Phoenix Raceway,33,10,Ty Dillon,Ty Dillon,4013
5549,Phoenix Raceway,34,42,John H. Nemechek,John H. Nemechek,4092
5549,Phoenix Raceway,35,51,Cody Ware,Cody Ware,4125
5549,Phoenix Raceway,36,88,Shane van Gisbergen,Shane van Gisbergen,4469
5549,Phoenix Raceway,37,78,Katherine Legge,Katherine Legge,4284
5550,Bristol Motor Speedway,1,5,Kyle Larson,Kyle Larson,4030
5550,Bristol Motor Speedway,2,11,Denny Hamlin,Denny Hamlin,1361
5550,Bristol Motor Speedway,3,20,Christopher Bell,Christopher Bell,4153
5550,Bristol Motor Speedway,4,9,Chase Elliott,Chase Elliott,4062
5550,Bristol Motor Speedway,5,48,Alex Bowman,Alex Bowman,4045
5550,Bristol Motor Speedway,6,24,William Byron,William Byron,4184
5550,Bristol Motor Speedway,7,17,Chris Buescher,Chris Buescher,3989
5550,Bristol Motor Speedway,8,12,Ryan Blaney,Ryan Blaney,4023
5550,Bristol Motor Speedway,9,54,Ty Gibbs,Ty Gibbs,4368
5550,Bristol Motor Speedway,10,1,Ross Chastain,Ross Chastain,4001
5550,Bristol Motor Speedway,11,19,Chase Briscoe,Chase Briscoe,4228
