race_id,race_season,race_name,track_name,race_date,finishing_position,starting_position,car_number,driver_fullname,driver_id,team_name,car_make,sponsor,crew_chief_fullname,laps_completed,finishing_status,laps_led,times_led,points_earned,diff_laps,diff_time,playoff_points_earned,points_position,points_delta,disqualified,qualifying_order,qualifying_position,qualifying_speed,track_type,track_length
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,23,2,48,Parker Kligerman,3914,Big Machine Racing,Chevrolet,Big Machine Racing Spiked,Patrick Donahue,125,Running,1,1,17,0,42304,0,22,0,FALSE,35,2,182.441,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,24,10,78,Anthony Alfredo,4301,B.J. McLeod Motorsports,Chevrolet,TicketSmarter,Pat Tryson,125,Running,0,0,13,0,63041,0,26,0,FALSE,40,10,181.068,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,25,12,5,Jade Buford,4346,Big Machine Racing,Chevrolet, Double Spiked Coolers,Chris Carrier,125,Running,0,0,12,0,67031,0,27,0,FALSE,6,12,181.273,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,26,18,8,Josh Berry,4123,JR Motorsports,Chevrolet,Bass Pro Shops/Tracker Boats,Taylor Moyer,125,Running,17,1,20,0,91249,0,17,0,FALSE,11,18,180.854,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,27,14,1,Sam Mayer,4327,JR Motorsports,Chevrolet,Accelerate Pros Talent,Mardy Lindley,124,Accident,14,3,19,1,0,0,19,0,FALSE,2,14,181.123,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,28,24,44,Jeffrey Earnhardt,3894,Alpha Prime Racing,Chevrolet,ForeverLawn,Michael Groves,124,Running,0,0,9,1,0,0,28,0,FALSE,33,24,179.587,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,29,32,25,Brett Moffitt,4038,AM Racing,Ford,AM Technical Solutions,Joe Williams,124,Running,0,0,14,1,0,0,25,0,FALSE,22,32,179.051,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,30,37,34,Jesse Iwuji,4291,Jesse Iwuji Motorsports,Chevrolet,TBD ,Dan Stillman,110,Electrical,0,0,7,15,0,0,30,0,FALSE,27,37,0,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,31,31,35,Cj McLaughlin,4316,Emerling Gase Motorsports,Ford,Sci-Aps,Paul Clapprood,87,Accident,0,0,6,38,0,0,31,0,FALSE,28,31,179.055,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,32,33,26,Kaz Grala,4191,Sam Hunt Racing,Toyota,Island Coastal Lager,Allen Hart,82,Engine,0,0,5,43,0,0,32,0,FALSE,23,33,178.944,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,33,21,6,Brennan Poole,4144,JD Motorsports,Chevrolet,Macc Door Systems,Kase Kallenbach,81,Engine,0,0,4,44,0,0,33,0,FALSE,7,21,180.115,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,34,4,2,Sheldon Creed,4204,Richard Childress Racing,Chevrolet,Whelen,Jeff Stankiewicz,41,Accident,5,1,8,84,0,0,29,0,FALSE,4,4,182.216,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,35,35,43,Ryan Ellis,4029,Alpha Prime Racing,Chevrolet,Heartbeat Hot Sauce,Michael Brandt,41,Accident,0,0,2,84,0,0,34,0,FALSE,32,35,178.211,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,36,6,11,Daniel Hemric,4093,Kaulig Racing,Chevrolet,Cirkul,Jason Trinchere,20,Accident,0,0,1,105,0,0,35,0,FALSE,14,6,181.778,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,37,27,07,Blaine Perkins,4376,SS GreenLight Racing,Chevrolet,AUTOPARKIT.com,Mike Hillman Sr.,19,Accident,0,0,1,106,0,0,36,0,FALSE,8,27,179.208,superspeedway,2.5
5310,2023,Beef. It's What's For Dinner. 300,Daytona International Speedway,2023-02-18T17:00:00,38,30,4,Bayley Currey,4257,JD Motorsports,Chevrolet,Mikes Weather Page/Firman,Wayne Carroll Jr,8,Engine,0,0,1,117,0,0,37,0,FALSE,5,30,179.072,superspeedway,2.5
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,39,39,99,Garrett Smithley,4142,B.J. McLeod Motorsports,Chevrolet,PCARx,Lee Leslie,0,,0,0,0,0,0,0,45,0,FALSE,40,39,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,40,40,74,Ryan Vargas,4320,MHR w/Gary Keller,Chevrolet,CHK Racing,Ryan Bell,0,,0,0,0,0,0,0,47,0,FALSE,35,40,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,1,2,20,John H. Nemechek,4092,Joe Gibbs Racing,Toyota,Vons/Albertsons ,Ben Beshore,150,Running,49,6,51,0,0,5,2,0,FALSE,17,2,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,2,22,1,Sam Mayer,4327,JR Motorsports,Chevrolet,Accelerate Pros Talent,Mardy Lindley,150,Running,0,0,39,0,761,0,7,0,FALSE,2,22,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,3,3,7,Justin Allgaier,34,JR Motorsports,Chevrolet,BRANDT,James Pohlman,150,Running,8,2,39,0,1305,0,3,0,FALSE,8,3,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,4,5,16,Chandler Smith,4312,Kaulig Racing,Chevrolet,"Quick Tie Products, Inc.",Bruce Schlicker,150,Running,1,1,42,0,4241,0,4,0,FALSE,14,5,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,5,19,8,Josh Berry,4123,JR Motorsports,Chevrolet,Bass Pro Shops/Tracker Boats,Taylor Moyer,150,Running,3,2,32,0,5957,0,9,0,FALSE,10,19,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,6,1,21,Austin Hill,4133,Richard Childress Racing,Chevrolet,Bennett Transportation,Andy Street,150,Running,4,2,40,0,6800,0,1,0,FALSE,18,1,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,7,6,98,Riley Herbst,4269,Stewart-Haas Racing,Ford,Monster Energy,Richard Boswell II,150,Running,0,0,38,0,7116,0,5,0,FALSE,39,6,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,8,15,10,Austin Dillon,3873,Kaulig Racing,Chevrolet,LA Golf,Alex Yontz,150,Running,10,1,0,0,7284,0,39,0,FALSE,12,15,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,9,25,25,Brett Moffitt,4038,AM Racing,Ford,AM Technical Solutions,Joe Williams,150,Running,0,0,32,0,9626,0,14,0,FALSE,20,25,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,10,23,48,Parker Kligerman,3914,Big Machine Racing,Chevrolet,Big Machine Racing Spiked,Patrick Donahue,150,Running,0,0,34,0,10755,0,11,0,FALSE,31,23,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,11,14,19,Joe Graf Jr,4313,Joe Gibbs Racing,Toyota,CoverSeal,Jason Ratcliff,150,Running,0,0,26,0,11060,0,8,0,FALSE,16,14,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,12,35,11,Daniel Hemric,4093,Kaulig Racing,Chevrolet,Poppy Bank,Jason Trinchere,150,Running,0,0,32,0,11561,0,21,0,FALSE,13,35,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,13,29,26,Kaz Grala,4191,Sam Hunt Racing,Toyota,Fire Department Coffee,Allen Hart,150,Running,0,0,24,0,11946,0,24,0,FALSE,21,29,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,14,16,39,Ryan Sieg,3884,RSS Racing,Ford,CMRroofing.com,Michael Scearce,150,Running,0,0,23,0,15314,0,10,0,FALSE,27,16,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,15,18,38,Kyle Sieg,4388,RSS Racing,Ford,TopPools.com ,Brad Parrott,150,Running,0,0,22,0,16923,0,18,0,FALSE,26,18,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,16,9,92,Josh Williams,4106,DGM Racing,Chevrolet,Call 811 / Alloy Employer,Bryan Berry,150,Running,0,0,21,0,18263,0,16,0,FALSE,38,9,0,two mile,2
5311,2023,Production Alliance Group 300,Auto Club Speedway,2023-02-26T20:00:00,17,17,78,Anthony Alfredo,4301,B.J. McLeod Motorsports,Chevrolet,Dude Wipes ,Pat Tryson,150,Running,0,0,20,0,19160,0,22,0,FALSE,36,17,0,two mile,2
