race_id,race_name,sch_laps,act_laps,driver_id,start_ps,mid_ps,ps,closing_ps,closing_laps_diff,best_ps,worst_ps,avg_ps,passes_gf,passing_diff,passed_gf,quality_passes,fast_laps,top15_laps,lead_laps,laps,rating
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4153,1,4,10,14,4,1,34,13.68,106,19,87,72,9,190,32,274,92.28
5148,Pennzoil 400 presented by Jiffy Lube,267,274,3873,10,15,11,17,6,1,35,19.58,100,-55,155,28,2,107,0,274,69.84
5148,Pennzoil 400 presented by Jiffy Lube,267,274,1416,25,8,12,16,4,5,25,11.74,93,-6,99,57,2,218,0,274,82.84
5148,Pennzoil 400 presented by Jiffy Lube,267,274,453,31,28,13,9,-4,1,34,15.95,116,9,107,45,1,159,4,274,76.68
5148,Pennzoil 400 presented by Jiffy Lube,267,274,3859,6,13,14,13,-1,2,28,10.7,97,-10,107,80,4,253,0,274,88.02
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4096,29,23,15,20,5,2,36,22.45,124,-7,131,2,1,9,0,274,59.42
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4217,19,21,16,21,5,12,34,22.44,116,-6,122,2,0,2,0,274,53.33
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4172,28,26,17,18,1,9,34,22.28,118,19,99,1,2,4,0,274,58.51
5148,Pennzoil 400 presented by Jiffy Lube,267,274,3989,27,22,18,19,1,10,32,20.41,126,13,113,12,0,24,0,274,60
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4180,3,32,19,24,5,2,33,19.66,102,-13,115,35,0,84,0,274,64.83
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4013,32,24,20,22,2,1,33,23.83,104,-25,129,6,0,20,1,274,47
5148,Pennzoil 400 presented by Jiffy Lube,267,274,3888,9,14,21,7,-14,1,31,14.16,103,-2,105,50,0,175,4,274,71.75
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4093,16,27,22,23,1,7,36,27.31,68,1,67,3,1,10,0,274,42.42
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4231,30,19,23,25,2,13,35,23.97,134,-14,148,6,0,5,0,274,48.83
5148,Pennzoil 400 presented by Jiffy Lube,267,274,1816,15,33,24,29,5,1,36,24.7,66,-5,71,14,2,51,3,273,58.28
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4025,17,10,25,11,-14,7,31,17.25,106,-13,119,41,0,141,0,273,63.17
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4125,33,25,26,27,1,5,35,28.16,38,-35,73,0,0,3,0,273,38.5
5148,Pennzoil 400 presented by Jiffy Lube,267,274,3832,22,16,27,26,-1,1,35,21.21,111,0,111,25,0,50,4,273,50.17
5148,Pennzoil 400 presented by Jiffy Lube,267,274,3973,35,31,28,28,0,8,37,31.9,21,-6,27,0,0,3,0,272,31.5
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4213,34,30,29,30,1,10,37,31.14,19,-27,46,0,0,1,0,271,32.67
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4142,36,34,30,31,1,16,37,33.83,4,-3,7,0,0,0,0,267,28.67
5148,Pennzoil 400 presented by Jiffy Lube,267,274,4059,23,29,31,10,-21,7,31,16.91,157,56,101,62,3,133,0,264,65.93
5148,Pennzoil 400 presented by Jiffy Lube,267,274,1361,8,20,32,32,0,1,30,10.66,74,2,72,71,21,215,31,219,101.44
