race_id,driver_id,Pos,No.,Name,Sponsor,Best Tm,Best Speed,In Lap,Laps,Diff
2,122,35,12,Ryan Roulette*,VFW-Bellator Recruiting Academy Ford,30.111,119.558,11,17,2.513
2,172,36,7,Danica Dart*,Evers Farms/Pioneer Performance/Ebco Construction Chevrolet,30.121,119.518,26,30,2.523
2,149,37,6,Cody Dennison*,Karrus Toyota,30.544,117.863,7,22,2.946
2,120,38,99,Michael Maples*,Don Ray Petroleum LLC Chevrolet,30.573,117.751,7,18,2.975
2,141,39,10,Brayton Laster*,CarAggio Motorsports Ford,31.082,115.823,10,12,3.484
2,107,40,3,Alex Clubb,Yabapai Bottle Gas/Race Parts Liquidators Ford,31.993,112.525,7,11,4.395
2,166,41,5,David Smith,Shockwave Marine Suspension Seating Toyota,32.297,111.465,1,1,4.699
2,169,42,27,"Bobby Hillis, Jr.",Camping World/First Impression Press Chevrolet,34.581,104.103,2,5,6.983
3,125,1,11,Bryce Haugeberg,Karcher/Brenco Toyota,53.331,179.558,6,6,0
3,137,2,15,Kris Wright,FNB Corporation Toyota,53.345,179.511,4,6,0.014
3,136,3,25,Toni Breidinger,Raising Cane’s Toyota,53.398,179.333,4,6,0.067
3,100,4,55,Gus Dean,Hardcore Fish & Game Toyota,53.669,178.427,4,6,0.338
3,108,5,22,Amber Balcaen,ICON Technologies Toyota,53.672,178.417,4,6,0.341
3,123,6,18,Tanner Gray,Place of Hope Toyota,53.739,178.195,3,6,0.408
3,109,7,73,Andy Jankowiak,Acacia Energy Toyota,53.753,178.148,3,6,0.422
3,134,8,93,Caleb Costner*,Lickety Lew’s/Heritage Water Systems Chevrolet,53.762,178.118,3,5,0.431
3,104,9,27,Tim Richmond,Immigration Law Center Toyota,54.702,175.058,5,6,1.371
3,101,10,44,Thomas Annunziata*,Nerd Focus Chevrolet,54.777,174.818,3,6,1.446
3,135,11,68,Jeff Scofield*,JXT Transport Chevrolet,54.779,174.812,5,5,1.448
3,110,12,20,Jake Finch*,Phoenix Toyota,54.836,174.63,5,6,1.505
3,129,13,8,Sean Corr,Nesco Bus Sales Chevrolet,54.92,174.363,6,6,1.589
3,103,14,32,Christian Rose,West Virgina Department of Tourism Ford,54.941,174.296,4,4,1.61
3,111,15,2,Andres Perez,Max Siegal Inc Chevrolet,55.16,173.604,3,4,1.829
3,174,16,30,Frankie Muniz,Rette Jones Racing,55.162,173.598,3,4,1.831
3,122,17,12,Ryan Roulette*,Bellator Recruiting Academy/VFW Ford,55.371,172.943,3,6,2.04
3,140,18,7,Eric Caudell,RYDIN/Coble Enterprises/Red Tine Canopies Toyota,55.384,172.902,3,6,2.053
3,102,19,35,Greg Van Alst,Zaki Ali Injury & Criminal Attorney/ZakiAli.com Chevrolet,55.757,171.745,2,2,2.426
3,120,20,99,Michael Maples*,Don Ray Petroleum LLC Chevrolet,56.011,170.966,6,6,2.68
3,114,21,6,Lavar Scott*,Max Siegel Inc Chevrolet,56.125,170.619,5,5,2.794
3,149,22,1,Cody Dennison*,ALL CAPS Comics Ford,56.263,170.201,2,6,2.932
3,126,23,69,Scott Melton,Melton McFadden Insuracne/Donna’s Donuts Ford,56.344,169.956,2,5,3.013
3,107,24,3,Alex Clubb,Race Parts Liquidators Ford,56.392,169.811,6,6,3.061
3,139,25,10,Ed Pompa,HYTORC of New York/Double H Ranch Toyota,56.454,169.625,6,6,3.123
3,142,26,87,Charles Buchanan,Spring Drug Chevrolet,56.508,169.463,2,6,3.177
3,119,27,57,Hunter Deshautelle*,Brother-In-Law Motorsports Chevrolet,56.532,169.391,2,6,3.201
3,145,28,88,A.J. Moyer,Rivers’s Edge Cottages & RV Park/Ampere EV Chevrolet,57.293,167.141,2,2,3.962
3,148,29,98,Dale Shearer,Shearer Speed Toyota,57.939,165.277,3,5,4.608
