race_id,race_name,sch_laps,act_laps,driver_id,start_ps,mid_ps,ps,closing_ps,closing_laps_diff,best_ps,worst_ps,avg_ps,passes_gf,passing_diff,passed_gf,quality_passes,fast_laps,top15_laps,lead_laps,laps,rating
5345,Fr8 208,135,137,4371,21,16,32,19,-13,7,26,17.21,68,26,42,27,5,61,0,126,70.44
5345,Fr8 208,135,137,4427,29,34,33,33,0,1,35,28.16,12,-34,46,6,5,14,1,123,44.5
5345,Fr8 208,135,137,4387,6,3,34,34,0,2,24,18.41,35,4,31,30,0,73,0,83,83.67
5345,Fr8 208,135,137,4432,31,35,35,35,0,29,36,34.93,4,-5,9,0,0,0,0,52,25.33
5345,Fr8 208,135,137,4382,36,36,36,36,0,35,36,35.93,1,0,1,0,0,0,0,7,23.17
5346,XPEL 225,42,42,4272,7,3,1,1,0,1,20,3.14,28,20,8,21,3,41,16,42,138.5
5346,XPEL 225,42,42,454,2,2,2,2,0,1,20,3.92,38,29,9,27,8,38,12,42,130.61
5346,XPEL 225,42,42,4235,3,18,3,4,1,1,21,6.21,23,-14,37,12,2,38,1,42,115.5
5346,XPEL 225,42,42,4296,12,24,4,5,1,4,31,13.57,39,-5,44,16,0,27,0,42,86.17
5346,XPEL 225,42,42,4001,1,1,5,9,4,1,28,7.23,55,34,21,34,8,36,10,42,117.94
5346,XPEL 225,42,42,4387,11,16,6,6,0,3,26,11.3,52,7,45,30,0,33,0,42,96.33
5346,XPEL 225,42,42,4416,4,22,7,10,3,3,27,10.47,52,3,49,24,2,37,0,42,95.94
5346,XPEL 225,42,42,4342,9,17,8,8,0,6,22,12.38,44,-5,49,18,0,31,0,42,85.17
5346,XPEL 225,42,42,4191,10,8,9,7,-2,3,27,8.45,26,-18,44,14,0,37,0,42,91
5346,XPEL 225,42,42,4107,13,7,10,3,-7,2,19,6.97,37,1,36,24,2,41,0,42,102.94
5346,XPEL 225,42,42,4406,19,6,11,11,0,4,28,14.64,53,10,43,18,0,26,0,42,82.67
5346,XPEL 225,42,42,3978,8,23,12,14,2,7,30,16.07,47,3,44,19,0,28,0,42,72.67
5346,XPEL 225,42,42,4422,20,12,13,12,-1,4,34,17.04,54,-5,59,12,0,23,0,42,69.17
5346,XPEL 225,42,42,4205,15,10,14,13,-1,3,30,14.11,58,28,30,25,0,26,0,42,81
5346,XPEL 225,42,42,4427,24,11,15,15,0,6,33,16.26,47,5,42,17,0,24,0,42,72.33
5346,XPEL 225,42,42,4366,16,9,16,16,0,2,34,14.4,42,3,39,20,0,22,0,42,73.33
5346,XPEL 225,42,42,4371,18,5,17,18,1,2,28,14.3,55,21,34,24,0,21,0,42,73.5
5346,XPEL 225,42,42,4451,36,25,18,20,2,12,36,22.57,46,-11,57,1,0,4,0,42,51.67
5346,XPEL 225,42,42,4423,32,21,19,19,0,15,32,21.97,52,9,43,0,0,1,0,42,51.83
5346,XPEL 225,42,42,4310,25,29,20,21,1,10,31,24.21,39,-20,59,2,0,3,0,42,45.83
5346,XPEL 225,42,42,4364,35,15,21,22,1,5,35,20.64,61,-4,65,6,0,8,0,42,54.5
5346,XPEL 225,42,42,4394,14,13,22,25,3,11,29,19.64,42,-12,54,14,0,17,0,42,54.5
5346,XPEL 225,42,42,4373,31,27,23,23,0,17,35,26.04,39,8,31,0,0,0,0,42,41.5
5346,XPEL 225,42,42,4344,27,28,24,26,2,16,30,23.07,54,9,45,0,0,0,0,42,48.5
5346,XPEL 225,42,42,3984,29,30,25,24,-1,13,31,25.9,24,-23,47,1,0,2,0,42,36.67
5346,XPEL 225,42,42,4434,30,26,26,27,1,16,34,26.54,35,-24,59,0,0,0,0,42,38.17
5346,XPEL 225,42,42,4295,21,14,27,17,-10,9,31,19.64,51,8,43,8,0,9,0,42,54.5
5346,XPEL 225,42,42,2667,33,20,28,28,0,12,34,24.83,47,-18,65,0,0,2,0,42,41.83
5346,XPEL 225,42,42,3916,28,19,29,29,0,6,29,19.92,66,9,57,14,4,14,0,41,60.97
5346,XPEL 225,42,42,4268,5,31,30,30,0,1,31,22.04,15,-25,40,6,4,12,3,31,70.38
5346,XPEL 225,42,42,3914,17,4,31,31,0,3,25,18.83,40,25,15,16,0,17,0,26,79.67
5346,XPEL 225,42,42,4192,26,32,32,32,0,26,35,31.97,16,9,7,0,0,0,0,12,27.83
5346,XPEL 225,42,42,694,34,33,33,33,0,10,34,28.83,24,-8,32,5,0,5,0,11,48.17
5346,XPEL 225,42,42,4326,6,34,34,34,0,4,34,29.21,3,-18,21,3,0,7,0,8,54
5346,XPEL 225,42,42,4414,22,35,35,35,0,12,24,33.52,13,-14,27,1,0,0,0,4,26.5
5346,XPEL 225,42,42,4454,23,36,36,36,0,23,36,36,0,-16,16,0,0,0,0,0,26
5347,Long John Silver's 200,200,124,4387,4,1,1,1,0,1,15,1.62,6,3,3,6,20,124,82,124,148.38
5347,Long John Silver's 200,200,124,454,2,2,2,3,1,1,3,1.91,3,2,1,3,12,124,37,124,130.09
5347,Long John Silver's 200,200,124,4272,1,3,3,2,-1,1,6,3.13,4,-1,5,4,9,124,5,124,117.67
5347,Long John Silver's 200,200,124,4235,12,7,4,4,0,4,12,6.48,18,6,12,18,2,124,0,124,103.64
5347,Long John Silver's 200,200,124,4342,9,4,5,5,0,3,14,4.34,11,3,8,11,3,124,0,124,111.79
5347,Long John Silver's 200,200,124,4107,3,6,6,6,0,3,18,6.08,10,-8,18,10,0,123,0,124,102
5347,Long John Silver's 200,200,124,3916,5,8,7,9,2,4,16,8.33,26,-5,31,24,0,123,0,124,91.5
5347,Long John Silver's 200,200,124,4406,24,16,8,8,0,8,26,15.59,26,7,19,14,0,57,0,124,75.5
5347,Long John Silver's 200,200,124,4459,22,10,9,10,1,7,22,11.2,27,9,18,22,0,120,0,124,88.5
5347,Long John Silver's 200,200,124,4295,8,25,10,11,1,8,32,20.95,29,12,17,5,0,25,0,124,65.67
5347,Long John Silver's 200,200,124,4416,19,23,11,12,1,6,23,14.75,27,9,18,20,0,83,0,124,79.33
5347,Long John Silver's 200,200,124,4001,25,20,12,13,1,12,28,21.5,23,4,19,4,0,24,0,124,68.33
5347,Long John Silver's 200,200,124,4423,18,13,13,14,1,10,18,12.69,19,4,15,18,0,122,0,124,84.83
5347,Long John Silver's 200,200,124,3978,10,24,14,15,1,9,26,17.02,21,-2,23,7,0,40,0,124,69.83
5347,Long John Silver's 200,200,124,4268,6,5,15,19,4,2,20,7,14,5,9,11,2,110,0,124,101.31
5347,Long John Silver's 200,200,124,4364,31,19,16,17,1,15,31,21.35,20,3,17,0,0,0,0,124,58.67
5347,Long John Silver's 200,200,124,4344,26,11,17,20,3,9,26,14.1,26,14,12,10,1,86,0,124,80.65
5347,Long John Silver's 200,200,124,4461,15,15,18,22,4,14,23,16.89,15,-4,19,6,0,28,0,124,71.67
5347,Long John Silver's 200,200,124,3984,28,18,19,16,-3,10,28,20.02,34,10,24,5,1,4,0,124,59.15
5347,Long John Silver's 200,200,124,4366,27,26,20,21,1,11,28,23.61,14,2,12,0,0,1,0,124,48.83
5347,Long John Silver's 200,200,124,4414,36,21,21,18,-3,12,36,22.5,35,15,20,0,2,1,0,124,56.31
5347,Long John Silver's 200,200,124,4373,23,17,22,23,1,13,26,18.87,25,1,24,6,0,8,0,124,59
5347,Long John Silver's 200,200,124,4192,30,34,23,26,3,23,36,29.17,14,-2,16,0,0,0,0,124,40.67
5347,Long John Silver's 200,200,124,4460,29,22,24,24,0,8,34,25.74,12,-1,13,0,0,1,0,124,38.5
5347,Long John Silver's 200,200,124,4422,16,28,25,28,3,14,36,28.99,16,-6,22,0,0,1,0,124,45.33
5347,Long John Silver's 200,200,124,694,11,14,26,25,-1,5,27,15.81,12,-3,15,6,0,83,0,124,69
5347,Long John Silver's 200,200,124,4296,14,31,27,29,2,12,34,27.58,10,-19,29,2,0,3,0,124,47.5
5347,Long John Silver's 200,200,124,4427,17,30,28,30,2,17,36,32.92,7,-19,26,0,0,0,0,123,30.5
5347,Long John Silver's 200,200,124,4462,33,29,29,32,3,29,36,32.74,7,-7,14,0,0,0,0,123,33.17
5347,Long John Silver's 200,200,124,4205,13,12,30,31,1,7,34,17.82,24,2,22,14,0,83,0,123,68
5347,Long John Silver's 200,200,124,4451,21,33,31,33,2,21,34,29.73,9,-10,19,0,0,0,0,123,39.33
5347,Long John Silver's 200,200,124,4371,20,32,32,34,2,19,36,30.12,12,-10,22,0,0,0,0,122,41.83
5347,Long John Silver's 200,200,124,4315,32,35,33,35,2,29,36,34.12,7,-5,12,0,0,0,0,122,26.5
5347,Long John Silver's 200,200,124,4326,7,9,34,7,-27,6,34,9.97,11,-11,22,11,0,114,0,122,76.67
5347,Long John Silver's 200,200,124,4421,34,27,35,27,-8,21,35,26.42,17,2,15,0,2,0,0,118,44.64
5347,Long John Silver's 200,200,124,4443,35,36,36,36,0,30,37,34.78,8,0,8,0,0,0,0,116,26.17
5348,Weather Guard Truck Race on Dirt,150,150,3859,4,1,1,1,0,1,5,1.17,7,4,3,7,53,150,138,150,131.83
5348,Weather Guard Truck Race on Dirt,150,150,4235,2,2,2,3,1,1,6,2.38,16,2,14,15,16,150,1,150,117.83
5348,Weather Guard Truck Race on Dirt,150,150,4184,14,4,3,2,-1,2,14,5.04,41,12,29,39,0,150,0,150,103
5348,Weather Guard Truck Race on Dirt,150,150,694,8,7,4,4,0,4,10,6,34,4,30,34,0,150,0,150,105.17
5348,Weather Guard Truck Race on Dirt,150,150,3978,11,13,5,5,0,3,15,8.53,52,8,44,51,0,150,0,150,99.33
5348,Weather Guard Truck Race on Dirt,150,150,4423,26,18,6,8,2,5,27,16.57,51,-6,57,8,0,61,0,150,71
5348,Weather Guard Truck Race on Dirt,150,150,4228,10,12,7,6,-1,6,16,10.29,47,4,43,46,0,147,0,150,88.17
5348,Weather Guard Truck Race on Dirt,150,150,4342,34,5,8,11,3,2,34,12.32,64,0,64,43,0,106,0,150,75.83
5348,Weather Guard Truck Race on Dirt,150,150,4427,3,15,9,7,-2,3,21,9.88,48,0,48,35,0,126,0,150,101
5348,Weather Guard Truck Race on Dirt,150,150,3916,24,6,10,10,0,1,24,11.09,48,2,46,30,3,104,11,150,80.17
5348,Weather Guard Truck Race on Dirt,150,150,4422,15,27,11,12,1,8,28,16.49,55,-4,59,33,0,88,0,150,78.33
5348,Weather Guard Truck Race on Dirt,150,150,4414,29,21,12,13,1,11,29,17.62,78,4,74,16,0,27,0,150,71.83
5348,Weather Guard Truck Race on Dirt,150,150,4366,6,10,13,14,1,1,20,11.32,46,-15,61,39,0,118,0,150,93.17
5348,Weather Guard Truck Race on Dirt,150,150,4061,25,19,14,18,4,14,31,20.92,77,11,66,10,0,9,0,150,60.17
5348,Weather Guard Truck Race on Dirt,150,150,4387,12,16,15,9,-6,8,29,14.62,71,21,50,37,0,81,0,150,73.5
5348,Weather Guard Truck Race on Dirt,150,150,4192,22,23,16,16,0,12,34,24.26,43,6,37,8,0,12,0,150,48.67
