race_id,driver_id,BestLapRank,Number,FullName,Sponsor,BestLapTime,BestLapSpeed,InLap,Laps,Diff
24,231,7,4,"Eric Nascimento, Jr.",RJs Paintshop/Impact Transport/Davids Racing Chevrolet,18.818,95.653,2,4,0.354
24,192,8,23,Mason Mitchell,SPS/GMS Fabrication Chevrolet,18.858,95.45,2,3,0.394
24,232,9,33,PJ Pedroncelli,Pedroncelli Mobile Bottling Chevrolet,18.937,95.052,3,4,0.473
24,160,10,12,Kyle Keller,Setting The Stage/Battle Born/Argus Construction Ford,18.981,94.832,3,4,0.517
24,161,11,3,Todd Souza,Central Coast Cabinets Toyota,18.993,94.772,3,4,0.529
24,144,12,7,Takuma Koga,GR Garage Toyota,19.016,94.657,2,4,0.552
24,167,13,41,"Johnny Borneman, III",Tilly’s/Stoney’s Ford,19.023,94.622,3,4,0.559
24,235,14,21,Henry Barton,Nascimento Motorsports/Turn One/Joiner Motorsports Toyota,19.094,94.27,3,4,0.63
24,233,15,88,John Moore,JM Environmental Ford,19.146,94.014,3,5,0.682
24,162,16,19,"Eric Johnson, Jr.",Pacific Office Automation Chevrolet,19.21,93.701,4,5,0.746
24,234,17,52,Ryan Philpott,Hacienda Pools/Mattos Transport Chevrolet,19.445,92.569,2,4,0.981
24,172,18,11,Danica Dart,Evers Farms/Pioneer Perf/EBCO Constr Ford,19.651,91.598,2,4,1.187
24,171,19,77,Cody Kiemele,King Taco/Master K BBQ/Wallce Sign Toyota,19.676,91.482,2,3,1.212
24,163,20,1,Robbie Kennealy,Setting The Stage/American Swin/Wiley X Ford,20.534,87.659,1,1,2.07
24,169,21,27,"Bobby Hillis, Jr.",Camping World/First Impression Press Chevrolet,20.796,86.555,3,4,2.332
24,166,22,5,David Smith,Shockwave Marine Suspension Seating Toyota,26.986,66.701,4,4,8.522
25,216,1,42,Brandon Jones,Sprecher,76.4,92.853,2,2,0
25,150,2,18,William Sawalich*,Starkey/Sound Gear,77.1,91.983,2,3,0.722
25,124,3,17,Marco Andretti*,Group 1001,77.8,91.184,2,3,1.398
25,156,4,16,Jack Wood,NAPA Auto Care,77.8,91.181,2,2,1.4
25,157,5,13,Tyler Reif,Central Coast Cabinets,77.9,91.05,5,5,1.512
25,154,6,5,Sean Hingorani,Fidelity Capital,78,90.962,2,2,1.588
25,151,7,20,Gio Ruggiero,First Auto Group,78.1,90.812,1,1,1.716
25,237,8,23,Jake Walker,GMS Fab/SPS/Spencer Clark Driven,78.1,90.771,8,11,1.752
25,132,9,4,Dale Quarterley,Van Dyk Recycling/ACI/Fire Rover,78.2,90.73,2,3,1.787
25,238,10,6,Caleb Shrader,Consonus Healthcare,78.2,90.708,2,2,1.806
25,158,11,88,Tanner Reif,Vegas Fastner Manufacturing,78.3,90.543,5,5,1.948
25,159,12,50,Trevor Huddleston,High Point Racing/Racecar Factory,78.4,90.492,2,3,1.993
25,155,13,55,Isabella Robusto*,Mobil1,78.4,90.405,3,3,2.068
25,162,14,19,"Eric Johnson, Jr.",Pacific Office Automation,78.9,89.896,1,3,2.512
25,160,15,12,Kyle Keller,Setting The Stage/Battle Born/Argus Construction,78.9,89.84,2,2,2.561
25,161,16,3,Todd Souza,Central Coast Cabinets,79.1,89.651,1,3,2.728
25,110,17,15,Jake Finch,Phoenix,80.8,87.777,4,4,4.417
25,144,18,7,Takuma Koga,Loop Connect,81.1,87.454,1,3,4.715
25,239,19,77,Dave Smith,Global OFfice Inc/PP1M,81.6,86.888,1,4,5.243
25,164,20,71,Nick Joanides,Jan’s Towing,81.8,86.716,2,3,5.405
25,163,21,1,Robbie Kennealy,Setting The Stage/American Swin/Wiley X,81.8,86.677,3,4,5.442
25,169,22,27,"Bobby Hillis, Jr.",Camping World/First Impression Press,84.1,84.293,4,7,7.756
25,166,23,5,David Smith,Shockwave Marine Suspension Seating,87.7,80.908,9,10,11.276
26,240,1,23,Sam Mayer,SPS/GMS Fabrication/Spencer Clark Chevrolet,77.1,92.873,1,1,0
26,150,2,18,William Sawalich*,Starkey/Sound Gear Toyota,77.4,92.598,2,2,0.229
26,216,3,42,Brandon Jones,Delta Brands Chevrolet,78,91.837,2,2,0.87
26,182,4,15,Brent Crews,Mobil 1 Toyota,78.1,91.767,2,2,0.929
26,151,5,20,Gio Ruggiero,First Auto Group Toyota,78.3,91.495,1,2,1.161
26,244,6,30,Noah Gragson,Rette Jones Racing Ford,78.4,91.383,1,3,1.257
26,159,7,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,79.3,90.375,2,2,2.132
26,156,8,16,Jack Wood,NAPA Auto Care Chevrolet,79.3,90.339,2,2,2.163
26,231,9,4,"Eric Nascimento, Jr.",Impact Transport/RJ’s Paintshop/Joiner Motorsports Toyota,79.4,90.246,3,3,2.245
26,157,10,13,Tyler Reif,Central Coast Cabinets Ford,79.5,90.105,3,5,2.369
26,160,11,12,Kyle Keller,Setting The Stage/Battle Born/Argus Const Chevrolet,79.5,90.071,3,3,2.399
26,154,12,5,Sean Hingorani,Fidelity Capital Toyota,79.6,90.026,1,3,2.439
26,124,13,17,Marco Andretti*,Group 1001 Chevrolet,79.6,89.954,1,3,2.503
26,155,14,55,Isabella Robusto*,Yahoo! Toyota,79.7,89.832,2,3,2.611
26,132,15,32,Dale Quarterley,Van Dyk Recycling/Motul Chevrolet,79.9,89.663,1,4,2.761
26,238,16,6,Caleb Shrader,Consonus Healthcare Ford,80,89.566,3,3,2.848
26,167,17,41,"Johnny Borneman, III",Travel Nevada/Stoney’s Ford,80.9,88.544,1,4,3.771
26,161,18,3,Todd Souza,Central Coast Cabinets Toyota,81.4,88.031,3,4,4.242
26,245,19,80,Brian Kamisky,SK Construction/Wards Concrete/Cox & Cox Constr Chevrolet,81.5,87.888,1,2,4.375
26,234,20,52,Ryan Philpott,Mattos Equipment Rentals/Hacienda Pools Toyota,82.1,87.259,1,1,4.962
26,164,21,71,Nick Joanides,Jan’s Towing Ford,83.7,85.555,2,3,6.598
26,163,22,1,Robbie Kennealy,Setting The Stage/American Swim Academy/Wiley X Chevrolet,84.2,85.102,4,4,7.043
26,243,23,68,Rodd Kneeland,Florian Industries/Rodd’s Renovations Chevrolet,85.8,83.478,4,6,8.681
