race_id,stage_number,position,vehicle_number,driver_id,full_name,stage_points
5312,2,11,39,3884,Ryan Sieg,0
5312,2,12,48,3914,Parker Kligerman,0
5312,2,13,24,4065,Tyler Reddick(i),0
5312,2,14,26,4191,Kaz Grala,0
5312,2,15,11,4093,Daniel Hemric,0
5312,2,16,78,4301,Anthony Alfredo,0
5312,2,17,20,4092,John Hunter Nemechek,0
5312,2,18,02,4187,Kyle Weatherman,0
5312,2,19,27,4018,Jeb Burton,0
5312,2,20,38,4388,Kyle Sieg,0
5312,2,21,28,4225,Alex Labbe,0
5312,2,22,45,4422,Rajah Caruth(i),0
5312,2,23,19,4313,Joe Graf Jr.,0
5312,2,24,51,595,Jeremy Clements,0
5312,2,25,8,4123,Josh Berry,0
5312,2,26,7,34,Justin Allgaier,0
5312,2,27,4,4257,Bayley Currey,0
5312,2,28,44,3894,Jeffrey Earnhardt,0
5312,2,29,43,4029,Ryan Ellis,0
5312,2,30,92,4106,Josh Williams,0
5312,2,31,6,4144,Brennan Poole,0
5312,2,32,07,4376,Blaine Perkins #,0
5312,2,33,91,4213,Josh Bilicki,0
5312,2,34,08,4103,Gray Gaulding,0
5312,2,35,53,4254,Patrick Emerling,0
5312,2,36,99,4142,Garrett Smithley,0
5312,2,37,31,4419,Parker Retzlaff #,0
5312,2,38,35,4004,Joey Gase,0
5313,1,1,7,34,Justin Allgaier,10
5313,1,2,2,4204,Sheldon Creed,9
5313,1,3,18,4441,Sammy Smith #,8
5313,1,4,98,4269,Riley Herbst,7
5313,1,5,11,4093,Daniel Hemric,6
5313,1,6,00,4104,Cole Custer,5
5313,1,7,10,454,Kyle Busch(i),0
5313,1,8,1,4327,Sam Mayer,3
5313,1,9,20,4092,John Hunter Nemechek,2
5313,1,10,16,4312,Chandler Smith #,1
5313,1,11,28,4388,Kyle Sieg,0
5313,1,12,21,4133,Austin Hill,0
5313,1,13,27,4018,Jeb Burton,0
5313,1,14,78,4301,Anthony Alfredo,0
5313,1,15,9,4085,Brandon Jones,0
5313,1,16,43,4029,Ryan Ellis,0
5313,1,17,51,595,Jeremy Clements,0
5313,1,18,26,4191,Kaz Grala,0
5313,1,19,19,3952,Ryan Truex,0
5313,1,20,25,4038,Brett Moffitt,0
5313,1,21,38,4313,Joe Graf Jr,0
5313,1,22,92,4106,Josh Williams,0
5313,1,23,02,4187,Kyle Weatherman,0
5313,1,24,48,3914,Parker Kligerman,0
5313,1,25,6,4144,Brennan Poole,0
5313,1,26,8,4123,Josh Berry,0
5313,1,27,4,4257,Bayley Currey,0
5313,1,28,07,4376,Blaine Perkins #,0
5313,1,29,39,3884,Ryan Sieg,0
5313,1,30,31,4419,Parker Retzlaff #,0
5313,1,31,24,4433,Connor Mosack,0
5313,1,32,08,4103,Gray Gaulding,0
5313,1,33,35,4004,Joey Gase,0
5313,1,34,53,4254,Patrick Emerling,0
5313,1,35,91,4142,Garrett Smithley,0
5313,1,36,45,4449,Leland Honeyman,0
5313,1,37,44,3894,Jeffrey Earnhardt,0
5313,1,38,74,4256,Dawson Cram,0
5313,2,1,7,34,Justin Allgaier,10
5313,2,2,21,4133,Austin Hill,9
5313,2,3,11,4093,Daniel Hemric,8
5313,2,4,18,4441,Sammy Smith #,7
5313,2,5,10,454,Kyle Busch(i),0
5313,2,6,78,4301,Anthony Alfredo,5
5313,2,7,1,4327,Sam Mayer,4
5313,2,8,98,4269,Riley Herbst,3
5313,2,9,26,4191,Kaz Grala,2
5313,2,10,2,4204,Sheldon Creed,1
5313,2,11,19,3952,Ryan Truex,0
5313,2,12,00,4104,Cole Custer,0
5313,2,13,02,4187,Kyle Weatherman,0
5313,2,14,51,595,Jeremy Clements,0
5313,2,15,16,4312,Chandler Smith #,0
5313,2,16,9,4085,Brandon Jones,0
5313,2,17,20,4092,John Hunter Nemechek,0
5313,2,18,27,4018,Jeb Burton,0
5313,2,19,48,3914,Parker Kligerman,0
5313,2,20,31,4419,Parker Retzlaff #,0
5313,2,21,25,4038,Brett Moffitt,0
5313,2,22,39,3884,Ryan Sieg,0
5313,2,23,4,4257,Bayley Currey,0
5313,2,24,43,4029,Ryan Ellis,0
5313,2,25,92,4106,Josh Williams,0
5313,2,26,38,4313,Joe Graf Jr,0
5313,2,27,91,4142,Garrett Smithley,0
5313,2,28,44,3894,Jeffrey Earnhardt,0
5313,2,29,53,4254,Patrick Emerling,0
5313,2,30,07,4376,Blaine Perkins #,0
5313,2,31,35,4004,Joey Gase,0
5313,2,32,8,4123,Josh Berry,0
5313,2,33,28,4388,Kyle Sieg,0
5313,2,34,08,4103,Gray Gaulding,0
5313,2,35,45,4449,Leland Honeyman,0
5313,2,36,6,4144,Brennan Poole,0
5313,2,37,24,4433,Connor Mosack,0
5313,2,38,74,4256,Dawson Cram,0
5314,1,1,21,4133,Austin Hill,10
5314,1,2,2,4204,Sheldon Creed,9
5314,1,3,20,4092,John Hunter Nemechek,8
5314,1,4,16,4312,Chandler Smith #,7
5314,1,5,98,4269,Riley Herbst,6
5314,1,6,25,4038,Brett Moffitt,5
5314,1,7,11,4093,Daniel Hemric,4
5314,1,8,39,3884,Ryan Sieg,3
5314,1,9,00,4104,Cole Custer,2
5314,1,10,10,4172,Justin Haley(i),0
5314,1,11,48,3914,Parker Kligerman,0
5314,1,12,51,595,Jeremy Clements,0
5314,1,13,9,4085,Brandon Jones,0
5314,1,14,78,4301,Anthony Alfredo,0
5314,1,15,24,4433,Connor Mosack,0
5314,1,16,1,4327,Sam Mayer,0
5314,1,17,31,4419,Parker Retzlaff #,0
5314,1,18,27,4018,Jeb Burton,0
5314,1,19,6,4144,Brennan Poole,0
5314,1,20,19,3952,Ryan Truex,0
5314,1,21,7,34,Justin Allgaier,0
5314,1,22,8,4123,Josh Berry,0
5314,1,23,38,4313,Joe Graf Jr.,0
5314,1,24,18,4441,Sammy Smith #,0
5314,1,25,91,4410,Chad Chastain,0
5314,1,26,45,4409,Sage Karam,0
5314,1,27,35,4254,Patrick Emerling,0
5314,1,28,08,4103,Gray Gaulding,0
5314,1,29,28,4388,Kyle Sieg,0
5314,1,30,43,4029,Ryan Ellis,0
5314,1,31,07,4376,Blaine Perkins #,0
5314,1,32,92,4106,Josh Williams,0
